iter	Passed	Remaining
1170	164714	257270
1171	164883	257173
1172	165082	257123
1173	165240	257009
1174	165392	256885
1175	165566	256796
1176	165721	256678
1177	165882	256568
1178	166046	256464
1179	166213	256363
1180	166366	256241
1181	166532	256139
1182	166700	256039
1183	166844	255903
1184	166994	255776
1185	167130	255627
1186	167266	255478
1187	167396	255322
1188	167529	255169
1189	167668	255025
1190	167805	254878
1191	167941	254729
1192	168077	254581
1193	168212	254432
1194	168348	254283
1195	168496	254153
1196	168639	254016
1197	168770	253859
1198	168898	253700
1199	169082	253623
1200	169216	253472
1201	169359	253334
1202	169501	253195
1203	169633	253041
1204	169762	252883
1205	169894	252728
1206	170042	252598
1207	170164	252429
1208	170316	252304
1209	170443	252144
1210	170580	251996
1211	170705	251833
1212	170856	251706
1213	170996	251564
1214	171129	251411
1215	171293	251306
1216	171428	251156
1217	171562	251004
1218	171692	250849
1219	171832	250707
1220	171970	250561
1221	172110	250418
1222	172251	250278
1223	172387	250130
1224	172522	249981
1225	172662	249839
1226	172791	249682
1227	172926	249532
1228	173057	249376
1229	173194	249231
1230	173325	249075
1231	173468	248938
1232	173615	248807
1233	173750	248656
1234	173881	248502
1235	174017	248354
1236	174164	248223
1237	174297	248071
1238	174449	247947
1239	174580	247792
1240	174708	247632
1241	174846	247488
1242	174985	247344
1243	175127	247205
1244	175253	247044
1245	175386	246892
1246	175520	246742
1247	175647	246581
1248	175785	246437
1249	175928	246299
1250	176047	246129
1251	176186	245985
1252	176320	245836
1253	176450	245680
1254	176588	245535
1255	176723	245386
1256	176859	245240
1257	177003	245103
1258	177145	244964
1259	177290	244829
1260	177426	244681
1261	177559	244531
1262	177680	244363
1263	177833	244239
1264	178027	244171
1265	178187	244058
1266	178331	243921
1267	178471	243779
1268	178610	243637
1269	178750	243494
1270	178895	243359
1271	179035	243217
1272	179179	243081
1273	179317	242936
1274	179442	242775
1275	179577	242626
1276	179702	242465
1277	179840	242320
1278	180025	242239
1279	180179	242115
1280	180315	241968
1281	180479	241858
1282	180634	241738
1283	180786	241611
1284	180940	241488
1285	181078	241344
1286	181236	241225
1287	181362	241066
1288	181484	240900
1289	181614	240745
1290	181751	240599
1291	181880	240442
1292	182016	240294
1293	182153	240150
1294	182334	240062
1295	182470	239914
1296	182609	239772
1297	182762	239647
1298	182920	239528
1299	183105	239445
