iter	Passed	Remaining
1236	294522	3276893
1237	294839	3277528
1238	295182	3278455
1239	295510	3279208
1240	295825	3279824
1241	296216	3281277
1242	296554	3282137
1243	296885	3282926
1244	297235	3283915
1245	297593	3284991
1246	297935	3285896
1247	298269	3286705
1248	298611	3287593
1249	298941	3288356
1250	299385	3290366
1251	299747	3291480
1252	300084	3292302
1253	300426	3293192
1254	300838	3294843
1255	301213	3296085
1256	301591	3297348
1257	301938	3298281
1258	302271	3299055
1259	302624	3300051
1260	302946	3300695
1261	303296	3301658
1262	303626	3302394
1263	303960	3303160
1264	304282	3303814
1265	304607	3304482
1266	304932	3305156
1267	305265	3305923
1268	305603	3306725
1269	305978	3307940
1270	306319	3308781
1271	306659	3309613
1272	306989	3310323
1273	307311	3310956
1274	307664	3311915
1275	307988	3312565
1276	308311	3313200
1277	308640	3313900
1278	308970	3314603
1279	309309	3315412
1280	309647	3316205
1281	309994	3317084
1282	310306	3317598
1283	310631	3318235
1284	310987	3319211
1285	311315	3319887
1286	311626	3320389
1287	311951	3321023
1288	312323	3322167
1289	312680	3323140
1290	313072	3324484
1291	313378	3324917
1292	313694	3325448
1293	314070	3326618
1294	314392	3327223
1295	314744	3328135
1296	315098	3329064
1297	315423	3329691
1298	315766	3330495
1299	316113	3331346
1300	316464	3332242
1301	316782	3332787
1302	317121	3333548
1303	317454	3334247
1304	317783	3334899
1305	318134	3335788
1306	318480	3336611
1307	318844	3337627
1308	319237	3338950
1309	319654	3340507
1310	319988	3341202
1311	320319	3341873
1312	320734	3343402
1313	321061	3344019
1314	321426	3345032
1315	321768	3345801
1316	322120	3346682
1317	322458	3347400
1318	322788	3348039
1319	323113	3348635
1320	323461	3349456
1321	323791	3350093
1322	324135	3350867
1323	324483	3351686
1324	324802	3352207
1325	325135	3352864
1326	325572	3354601
1327	325952	3355743
1328	326319	3356741
1329	326820	3359129
1330	327198	3360235
1331	327560	3361179
1332	327909	3361995
1333	328274	3362970
1334	328652	3364074
1335	329010	3364965
1336	329373	3365919
1337	329784	3367352
1338	330126	3368076
1339	330476	3368888
1340	330783	3369251
1341	331131	3370041
1342	331471	3370742
1343	331819	3371518
1344	332150	3372133
1345	332501	3372936
1346	332824	3373456
1347	333121	3373722
1348	333436	3374159
1349	333787	3374965
1350	334102	3375402
1351	334411	3375770
1352	334745	3376403
1353	335061	3376843
1354	335376	3377283
1355	335709	3377892
1356	336079	3378876
1357	336394	3379298
1358	336709	3379728
1359	337029	3380207
1360	337556	3382761
1361	337924	3383714
1362	338334	3385084
1363	338665	3385662
1364	339060	3386875
1365	339417	3387717
1366	339792	3388727
1367	340128	3389351
1368	340469	3390024
1369	340802	3390615
1370	341168	3391532
1371	341473	3391834
1372	341822	3392580
1373	342152	3393135
1374	342466	3393533
1375	342784	3393964
1376	343119	3394562
1377	343448	3395102
1378	343775	3395624
1379	344120	3396320
1380	344450	3396868
1381	344772	3397326
1382	345100	3397858
1383	345423	3398327
1384	345751	3398853
1385	346080	3399376
1386	346429	3400107
1387	346811	3401154
1388	347131	3401587
1389	347455	3402065
1390	347781	3402560
1391	348130	3403271
1392	348491	3404106
1393	348829	3404711
1394	349159	3405240
1395	349508	3405959
1396	349840	3406498
1397	350171	3407037
1398	350519	3407735
1399	350861	3408372
1400	351210	3409070
1401	351739	3411524
1402	352122	3412550
1403	352485	3413382
1404	352829	3414034
1405	353156	3414517
1406	353506	3415223
1407	353835	3415723
1408	354180	3416366
1409	354518	3416953
1410	354871	3417683
1411	355202	3418198
1412	355545	3418827
1413	355874	3419314
1414	356187	3419650
1415	356513	3420112
1416	356831	3420493
1417	357279	3422125
1418	357636	3422879
1419	358006	3423753
1420	358327	3424155
1421	358662	3424701
1422	358992	3425186
1423	359324	3425695
1424	359652	3426161
1425	360000	3426818
1426	360317	3427183
1427	360673	3427912
1428	360983	3428210
1429	361323	3428782
1430	361641	3429145
1431	361970	3429615
1432	362292	3430021
1433	362771	3431914
1434	363207	3433382
1435	363548	3433959
1436	363881	3434465
1437	364235	3435160
1438	364572	3435699
1439	364952	3436638
1440	365284	3437119
1441	365626	3437697
1442	365984	3438425
1443	366323	3438978
1444	366663	3439533
1445	367000	3440062
1446	367353	3440733
1447	367689	3441246
1448	368021	3441722
1449	368357	3442235
1450	368672	3442553
1451	368996	3442947
1452	369328	3443418
1453	369655	3443849
1454	370028	3444697
1455	370385	3445402
1456	370762	3446284
1457	371096	3446767
1458	371513	3448021
1459	371874	3448757
1460	372246	3449585
1461	372623	3450465
1462	372961	3450980
1463	373337	3451845
1464	373643	3452059
1465	373988	3452629
1466	374353	3453390
1467	374796	3454872
1468	375131	3455348
1469	375457	3455738
1470	375775	3456057
1471	376101	3456458
1472	376427	3456846
1473	376759	3457291
1474	377079	3457623
1475	377406	3458024
1476	377767	3458737
1477	378094	3459128
1478	378430	3459605
1479	378785	3460260
1480	379126	3460774
1481	379421	3460874
1482	379810	3461835
1483	380159	3462422
1484	380479	3462743
1485	380861	3463636
1486	381185	3463998
1487	381553	3464748
1488	381895	3465267
1489	382235	3465775
1490	382572	3466247
1491	382948	3467067
1492	383333	3467972
1493	383676	3468497
1494	384068	3469458
